state,cases,Beson­ders betroffene Ge­biete in Deutsch­land,datetime
Thüringen,2,,2020-03-08T15:00:00
Brandenburg,4,,2020-03-08T15:00:00
Bremen,4,,2020-03-08T15:00:00
Saarland,4,,2020-03-08T15:00:00
Sachsen,7,,2020-03-08T15:00:00
Mecklenburg-Vorpommern,8,,2020-03-08T15:00:00
Schleswig Holstein,9,,2020-03-08T15:00:00
Hamburg,13,,2020-03-08T15:00:00
Hessen,19,,2020-03-08T15:00:00
Rheinland-Pfalz,19,,2020-03-08T15:00:00
Niedersachsen,21,,2020-03-08T15:00:00
Berlin,40,,2020-03-08T15:00:00
Bayern,172,,2020-03-08T15:00:00
Baden-Württemberg,182,,2020-03-08T15:00:00
Nordrhein-Westfalen,398,Landkreis Heinsberg,2020-03-08T15:00:00
sum,902,,2020-03-08T15:00:00
