state,cases,Beson­ders betroffene Ge­biete in Deutsch­land,datetime
Brandenburg,2,,2020-03-07T15:00:00
Thüringen,2,,2020-03-07T15:00:00
Saarland,3,,2020-03-07T15:00:00
Bremen,4,,2020-03-07T15:00:00
Sachsen,4,,2020-03-07T15:00:00
Mecklenburg-Vorpommern,5,,2020-03-07T15:00:00
Schleswig Holstein,8,,2020-03-07T15:00:00
Hamburg,13,,2020-03-07T15:00:00
Rheinland-Pfalz,13,,2020-03-07T15:00:00
Hessen,17,,2020-03-07T15:00:00
Niedersachsen,19,,2020-03-07T15:00:00
Berlin,28,,2020-03-07T15:00:00
Bayern,134,,2020-03-07T15:00:00
Baden-Württemberg,170,,2020-03-07T15:00:00
Nordrhein-Westfalen,373,Landkreis Heinsberg,2020-03-07T15:00:00
sum,795,,2020-03-07T15:00:00
