state,cases,Beson­ders betroffene Ge­biete in Deutsch­land,datetime
Thüringen,1,,2020-03-07T08:00:00
Brandenburg,2,,2020-03-07T08:00:00
Saarland,2,,2020-03-07T08:00:00
Sachsen,2,,2020-03-07T08:00:00
Bremen,4,,2020-03-07T08:00:00
Mecklenburg-Vorpommern,5,,2020-03-07T08:00:00
Schleswig Holstein,8,,2020-03-07T08:00:00
Rheinland-Pfalz,10,,2020-03-07T08:00:00
Hamburg,12,,2020-03-07T08:00:00
Hessen,16,,2020-03-07T08:00:00
Niedersachsen,19,,2020-03-07T08:00:00
Berlin,24,,2020-03-07T08:00:00
Baden-Württemberg,116,,2020-03-07T08:00:00
Bayern,117,,2020-03-07T08:00:00
Nordrhein-Westfalen,346,Landkreis Heinsberg,2020-03-07T08:00:00
sum,684,,2020-03-07T08:00:00
