state,cases,datetime
Brandenburg,1,2020-03-05T08:00:00
Saarland,1,2020-03-05T08:00:00
Sachsen,1,2020-03-05T08:00:00
Thüringen,1,2020-03-05T08:00:00
Bremen,3,2020-03-05T08:00:00
Hamburg,3,2020-03-05T08:00:00
Schleswig Holstein,3,2020-03-05T08:00:00
Mecklenburg-Vorpommern,4,2020-03-05T08:00:00
Rheinland-Pfalz,7,2020-03-05T08:00:00
Berlin,9,2020-03-05T08:00:00
Niedersachsen,10,2020-03-05T08:00:00
Hessen,14,2020-03-05T08:00:00
Bayern,52,2020-03-05T08:00:00
Baden-Württemberg,65,2020-03-05T08:00:00
Nordrhein-Westfalen,175,2020-03-05T08:00:00
sum,349,2020-03-05T08:00:00
