state,cases,Beson­ders betroffene Ge­biete in Deutsch­land,datetime
Thüringen,2,,2020-03-09T08:00:00
Bremen,4,,2020-03-09T08:00:00
Saarland,5,,2020-03-09T08:00:00
Brandenburg,6,,2020-03-09T08:00:00
Mecklenburg-Vorpommern,8,,2020-03-09T08:00:00
Schleswig Holstein,9,,2020-03-09T08:00:00
Sachsen,10,,2020-03-09T08:00:00
Hamburg,17,,2020-03-09T08:00:00
Rheinland-Pfalz,19,,2020-03-09T08:00:00
Hessen,20,,2020-03-09T08:00:00
Niedersachsen,33,,2020-03-09T08:00:00
Berlin,40,,2020-03-09T08:00:00
Baden-Württemberg,199,,2020-03-09T08:00:00
Bayern,256,,2020-03-09T08:00:00
Nordrhein-Westfalen,484,Landkreis Heinsberg,2020-03-09T08:00:00
sum,1112,,2020-03-09T08:00:00
