state,cases,Beson­ders betroffene Ge­biete in Deutsch­land,datetime
Thüringen,1,,2020-03-06T15:00:00
Brandenburg,2,,2020-03-06T15:00:00
Saarland,2,,2020-03-06T15:00:00
Sachsen,2,,2020-03-06T15:00:00
Bremen,4,,2020-03-06T15:00:00
Mecklenburg-Vorpommern,5,,2020-03-06T15:00:00
Schleswig Holstein,7,,2020-03-06T15:00:00
Rheinland-Pfalz,10,,2020-03-06T15:00:00
Hamburg,11,,2020-03-06T15:00:00
Hessen,16,,2020-03-06T15:00:00
Niedersachsen,18,,2020-03-06T15:00:00
Berlin,19,,2020-03-06T15:00:00
Baden-Württemberg,96,,2020-03-06T15:00:00
Bayern,117,,2020-03-06T15:00:00
Nordrhein-Westfalen,329,Landkreis Heinsberg,2020-03-06T15:00:00
sum,639,,2020-03-06T15:00:00
